               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.033161,            0.036735,           0.0060153,             0.91546,             0.91115,             0.96011,              0.7309,             0.02881,            0.019921,           0.0029695,            0.005149,            0.005149,            0.005149
                 100,            0.034052,             0.03868,           0.0061321,             0.89995,             0.90926,             0.95399,             0.70713,            0.029008,            0.019851,           0.0029175,           0.0050995,           0.0050995,           0.0050995
                 101,            0.034412,            0.033068,           0.0060064,             0.89214,              0.9371,              0.9559,             0.69604,            0.029133,            0.020072,           0.0029041,             0.00505,             0.00505,             0.00505
                 102,            0.032609,            0.036842,            0.006012,             0.89918,             0.92657,             0.95376,             0.71001,            0.029188,            0.019805,            0.002905,           0.0050005,           0.0050005,           0.0050005
                 103,            0.033344,            0.033952,           0.0054808,             0.90729,             0.91623,             0.96257,             0.72415,            0.027573,            0.019421,           0.0028999,            0.004951,            0.004951,            0.004951
                 104,            0.032444,            0.035352,           0.0059456,             0.90576,             0.92439,             0.96205,             0.70631,            0.028465,            0.019588,           0.0029094,           0.0049015,           0.0049015,           0.0049015
                 105,            0.033073,            0.038033,            0.006625,             0.91592,             0.92036,             0.96442,             0.71963,            0.027137,            0.019322,           0.0028757,            0.004852,            0.004852,            0.004852
                 106,            0.032288,            0.034292,            0.006122,             0.91837,              0.9267,              0.9613,             0.72584,            0.026703,            0.019252,           0.0028224,           0.0048025,           0.0048025,           0.0048025
                 107,            0.032207,            0.040482,           0.0053388,             0.91343,             0.92874,             0.96212,             0.73013,            0.028371,            0.019276,            0.002757,            0.004753,            0.004753,            0.004753
                 108,             0.03187,            0.037297,           0.0059997,             0.93131,              0.9257,             0.96529,             0.74058,            0.026851,            0.019134,           0.0027162,           0.0047035,           0.0047035,           0.0047035
                 109,            0.032382,            0.036452,           0.0062279,             0.93035,             0.92128,             0.96658,             0.73297,            0.027601,            0.018975,           0.0026877,            0.004654,            0.004654,            0.004654
                 110,            0.031981,            0.038902,           0.0057479,             0.92348,             0.92823,             0.96534,             0.73329,            0.027715,            0.018976,           0.0026942,           0.0046045,           0.0046045,           0.0046045
                 111,            0.030531,            0.035285,           0.0054677,             0.92697,             0.92254,             0.96634,             0.74265,            0.027278,             0.01885,           0.0027137,            0.004555,            0.004555,            0.004555
                 112,            0.033038,            0.035197,           0.0054067,             0.92432,             0.91922,             0.96582,             0.73023,            0.027809,            0.018954,           0.0026948,           0.0045055,           0.0045055,           0.0045055
                 113,            0.031776,            0.034472,           0.0050536,             0.90413,             0.92689,             0.96501,             0.71916,             0.02723,            0.018987,           0.0026832,            0.004456,            0.004456,            0.004456
                 114,            0.031268,            0.033858,           0.0055296,             0.88748,             0.93583,             0.96431,             0.73426,            0.026733,             0.01896,           0.0026641,           0.0044065,           0.0044065,           0.0044065
                 115,             0.03091,            0.033235,           0.0057565,             0.90195,             0.93759,             0.96764,              0.7492,            0.026429,            0.018835,           0.0026747,            0.004357,            0.004357,            0.004357
                 116,            0.032079,            0.033484,           0.0053079,             0.91026,             0.93462,             0.96839,             0.74429,            0.026505,            0.018897,           0.0026736,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031209,            0.035619,           0.0049773,             0.91509,             0.93089,             0.96781,             0.73676,            0.027089,            0.019029,           0.0026587,            0.004258,            0.004258,            0.004258
                 118,            0.029941,            0.030246,           0.0059424,             0.91578,             0.92332,             0.96615,             0.75022,            0.026311,            0.018767,           0.0026739,           0.0042085,           0.0042085,           0.0042085
                 119,            0.031416,            0.037383,           0.0058556,             0.91792,             0.91549,             0.96569,              0.7299,            0.026528,            0.018717,           0.0026588,            0.004159,            0.004159,            0.004159
                 120,            0.032493,            0.040577,           0.0057715,              0.9203,             0.91769,             0.95754,             0.74673,            0.026001,            0.018672,           0.0026412,           0.0041095,           0.0041095,           0.0041095
                 121,            0.031411,            0.032651,           0.0057033,             0.91781,             0.92889,             0.96106,             0.75325,            0.025328,            0.018435,           0.0026203,             0.00406,             0.00406,             0.00406
                 122,            0.029931,            0.034843,           0.0052764,             0.91047,             0.92361,              0.9569,             0.74991,            0.025859,            0.018377,           0.0025856,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030269,            0.033153,           0.0051572,             0.91662,             0.92108,             0.95772,             0.74076,            0.026154,            0.018366,           0.0025696,            0.003961,            0.003961,            0.003961
                 124,            0.030107,            0.033086,           0.0052297,             0.91993,             0.92054,             0.96071,             0.75039,            0.025809,            0.018384,           0.0025311,           0.0039115,           0.0039115,           0.0039115
                 125,            0.032018,            0.036063,           0.0057684,             0.90852,             0.93009,             0.96214,             0.76074,            0.025058,            0.018188,           0.0025061,            0.003862,            0.003862,            0.003862
                 126,            0.030079,            0.034214,           0.0053948,             0.90636,             0.93365,             0.95973,             0.76317,            0.025337,            0.018253,           0.0024978,           0.0038125,           0.0038125,           0.0038125
                 127,            0.030056,            0.033083,           0.0053511,              0.8969,              0.9405,             0.95999,             0.76264,            0.024862,            0.018081,           0.0024819,            0.003763,            0.003763,            0.003763
                 128,            0.030599,            0.034441,           0.0053266,             0.94202,             0.90771,             0.96125,             0.75799,             0.02537,            0.018182,           0.0024649,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030661,            0.033037,           0.0055453,             0.94144,             0.90666,             0.96056,             0.76121,            0.024865,            0.017967,           0.0024594,            0.003664,            0.003664,            0.003664
                 130,            0.030249,            0.036184,           0.0049807,             0.94003,             0.90779,              0.9581,             0.75574,            0.024608,             0.01786,           0.0024434,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030601,            0.034803,           0.0053498,             0.93475,             0.91042,             0.95889,              0.7655,            0.024694,            0.017771,           0.0024426,            0.003565,            0.003565,            0.003565
                 132,            0.030267,            0.033681,           0.0054494,             0.90631,               0.946,             0.96313,             0.75958,            0.024649,            0.017714,           0.0024384,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028947,            0.035473,           0.0056347,             0.90476,              0.9449,             0.96751,             0.76248,            0.024541,            0.017701,           0.0023971,            0.003466,            0.003466,            0.003466
                 134,            0.029101,            0.035042,           0.0052883,              0.9025,              0.9478,              0.9664,              0.7637,            0.024556,             0.01768,           0.0023905,           0.0034165,           0.0034165,           0.0034165
                 135,            0.028774,            0.034116,           0.0050862,             0.90916,             0.94493,             0.96831,             0.77885,             0.02462,            0.017705,            0.002388,            0.003367,            0.003367,            0.003367
                 136,            0.028634,            0.032602,           0.0051536,             0.90746,             0.94366,             0.96783,             0.77677,            0.024463,            0.017612,           0.0023608,           0.0033175,           0.0033175,           0.0033175
                 137,            0.029338,            0.034742,           0.0050881,             0.91775,             0.93251,             0.96828,             0.77776,            0.023908,            0.017509,           0.0023372,            0.003268,            0.003268,            0.003268
                 138,            0.029013,            0.033433,           0.0050737,              0.9246,             0.93048,             0.96858,             0.78526,            0.023998,            0.017447,           0.0023122,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029034,            0.032445,           0.0053329,             0.92916,             0.92843,             0.96961,             0.78897,            0.023471,            0.017424,           0.0022973,            0.003169,            0.003169,            0.003169
                 140,            0.029157,            0.033377,           0.0057683,             0.92025,             0.93523,             0.97008,             0.78148,             0.02415,            0.017426,           0.0022731,           0.0031195,           0.0031195,           0.0031195
                 141,            0.031079,            0.033338,           0.0052189,             0.90679,             0.93971,             0.96974,             0.77797,            0.024074,            0.017406,           0.0022633,             0.00307,             0.00307,             0.00307
                 142,            0.028155,            0.034055,           0.0052894,             0.89408,             0.94328,             0.96638,             0.77104,            0.024012,            0.017315,           0.0022542,           0.0030205,           0.0030205,           0.0030205
                 143,            0.030257,             0.03095,           0.0051002,             0.90931,             0.94173,             0.96693,             0.76934,            0.024205,            0.017478,           0.0022367,            0.002971,            0.002971,            0.002971
                 144,            0.030255,            0.032733,           0.0054587,             0.91296,             0.94057,             0.96678,             0.77236,            0.024115,             0.01745,           0.0022334,           0.0029215,           0.0029215,           0.0029215
                 145,            0.030563,            0.031802,           0.0050355,             0.91457,             0.94188,             0.96663,             0.76234,            0.024715,             0.01757,           0.0022243,            0.002872,            0.002872,            0.002872
                 146,            0.030251,               0.032,           0.0046534,             0.91832,             0.93909,             0.96983,             0.78223,            0.023787,            0.017457,           0.0022117,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028683,             0.03231,           0.0049633,             0.91465,              0.9439,             0.96659,             0.78367,            0.023682,            0.017405,            0.002204,            0.002773,            0.002773,            0.002773
                 148,            0.028811,             0.03423,           0.0054634,             0.91574,             0.94463,             0.96912,             0.78371,            0.023305,            0.017139,           0.0021878,           0.0027235,           0.0027235,           0.0027235
                 149,            0.028064,            0.035516,           0.0046403,             0.90089,             0.94581,             0.96888,             0.77971,            0.023896,            0.017264,           0.0021729,            0.002674,            0.002674,            0.002674
                 150,            0.030045,            0.035282,           0.0048623,             0.90042,             0.94858,             0.96883,             0.77639,            0.023779,            0.017212,           0.0021626,           0.0026245,           0.0026245,           0.0026245
                 151,            0.028887,            0.032719,            0.004719,             0.89547,             0.94969,             0.96892,             0.78914,            0.023544,            0.017129,           0.0021527,            0.002575,            0.002575,            0.002575
                 152,            0.027467,             0.03181,           0.0044593,             0.89551,             0.95452,             0.96924,             0.79102,            0.023398,            0.016996,           0.0021337,           0.0025255,           0.0025255,           0.0025255
                 153,            0.026927,            0.032769,           0.0046436,             0.89147,             0.95392,             0.96674,             0.77684,            0.023465,             0.01694,           0.0021061,            0.002476,            0.002476,            0.002476
                 154,            0.028999,            0.035475,           0.0056784,             0.89628,             0.95504,             0.96756,             0.78666,            0.023049,            0.016894,           0.0020975,           0.0024265,           0.0024265,           0.0024265
                 155,            0.028436,             0.03358,           0.0047741,             0.89755,              0.9585,             0.96751,             0.79045,            0.022743,             0.01672,           0.0020964,            0.002377,            0.002377,            0.002377
                 156,            0.027681,            0.033685,           0.0042802,             0.89235,             0.95572,             0.96745,             0.78734,            0.023055,            0.016699,           0.0020957,           0.0023275,           0.0023275,           0.0023275
                 157,            0.027343,            0.030629,           0.0050833,             0.90434,             0.95714,             0.96772,             0.79238,            0.022361,            0.016526,           0.0020831,            0.002278,            0.002278,            0.002278
